AG-X,AG-Y,AG-Z,Acc-X,Axx-Y,Acc-Z,Gravity-X,Gravity-Y,Gravity-Z,RR-X,RR-Y,RR-Z,RV-X,RV-Y,RV-Z,cos,activity
3.3646176,8.436874,1.049547,3.8369179,-1.3500443,0.68013537,-1.3336866,9.708046,0.38145718,-0.9206913,1.2110189,-0.47421736,0.21525349,-0.65895146,-0.70918566,0.12847015,downstairs
1.644664,11.01441,3.5983362,3.4165978,0.655921,2.507949,-1.4442775,9.6379595,1.092787,-2.403538,1.5029011,0.40142927,0.22868824,-0.6326991,-0.7255198,0.1449642,downstairs
-0.32921025,16.193434,-0.47876832,0.42493796,6.5470037,-2.7702627,-1.0416473,9.5120945,2.1460226,-2.7050076,0.7763913,2.3721669,0.22548284,-0.58722067,-0.75309706,0.19280607,downstairs
-1.3784298,20.605906,3.6606185,-2.197533,11.937055,0.04112792,0.44405705,9.373348,2.848428,0.1456375,-0.5690365,3.5194557,0.1800295,-0.5674953,-0.7576479,0.26741013,downstairs
1.7692289,14.645955,2.5826533,-0.3175949,5.640089,-0.22429371,2.0580866,9.153286,2.8551729,0.07319959,0.674126,2.9005375,0.12387992,-0.58216953,-0.7372386,0.31970558,downstairs
-0.15194485,8.278773,3.2342234,-0.5697789,2.9849873,-2.8888984,3.2095304,8.752317,3.0440502,0.14989856,1.6552337,2.4627142,0.10383802,-0.58145565,-0.71296895,0.37789187,downstairs
-2.8732085,2.3331957,-1.513615,-4.7816014,-3.7397223,-4.4396524,3.2294488,8.597815,3.437824,0.101961695,3.9061356,0.7902504,0.14612913,-0.5431504,-0.6780072,0.4732232,downstairs
-3.155875,0.48867714,-0.2440114,-6.833046,-7.423095,-4.8289967,2.8289225,8.6245165,3.7128544,1.1139619,1.280261,-0.6521164,0.1835758,-0.52800477,-0.6675357,0.49184036,downstairs
3.4125273,5.9743233,3.7803926,0.5906999,-4.1548595,0.26329088,2.0831711,9.134108,2.8980796,2.1131792,0.64749444,-1.5085883,0.21862043,-0.548324,-0.66156584,0.46246788,downstairs
3.8389225,13.865029,7.1963453,3.1998906,5.5413504,2.1498907,1.2351947,9.5196,2.0054684,1.2087704,0.76360816,0.33218715,0.27510792,-0.56389713,-0.6480987,0.43162918,downstairs
1.9033757,14.564508,2.5251617,1.5278581,3.9052372,-0.23612869,1.5111078,9.527578,1.7641361,0.029523779,-1.5682536,0.95749676,0.27864772,-0.57538974,-0.6357734,0.43252078,downstairs
3.8389225,16.212599,-0.8859997,-1.042356,10.133552,0.97557294,1.4772744,9.520363,1.8305012,1.097983,-0.5392091,-0.44012892,0.26537886,-0.5835367,-0.64030546,0.42316416,downstairs
-1.5269495,7.8044686,-3.3198059,-2.836515,-4.0161686,-1.4005417,1.3232912,9.601906,1.4908649,0.7997093,1.8586991,-1.3179061,0.2701399,-0.5964196,-0.6462255,0.39204687,downstairs
0.3798514,10.626342,-2.4526427,-1.0892999,-0.13399982,-3.7860265,0.726772,9.708792,1.1753954,1.1917262,1.7990444,-1.2710345,0.30221638,-0.5905394,-0.63881576,0.38967028,downstairs
